ID;Nazwa;Rzeka;Szerokośćgeograficzna;Długośćgeograficzna;Wysokośćnpm;lat_dec;lon_dec
252180210;Kłodawa;Rgilewka (18332);52 15 03;18 54 57;117.0;52.25083333333333;18.91583333333333
252180260;Turek;Kiełbaska (18334);52 00 37;18 29 54;115.0;52.01027777777778;18.498333333333335
252180290;Tuliszków ;Powa (18352);52 04 04;18 16 07;111.0;52.06777777777778;18.26861111111111
252180310;RADOSZEWICE;Noteć (188);52 21 43;18 42 22;110.0;52.36194444444445;18.70611111111111
252180370;Kleczew;Struga Kleczewska (183459272);52 23 13;18 10 14;98.0;52.386944444444445;18.170555555555556
252180380;Rakowo;Noteć (188);52 29 50;18 17 19;103.0;52.49722222222222;18.288611111111113
252190030;GŁODOWO;Mień (2794);52 49 50;19 14 08;104.0;52.830555555555556;19.235555555555557
252190120;Żychlin;Bzura (272);52 14 34;19 37 23;97.0;52.24277777777778;19.623055555555556
252190160;Walewice;Bzura (272);52 06 10;19 39 56;95.0;52.10277777777778;19.665555555555553
252190190;Lutocin;Skrwa (2756);52 59 05;19 45 04;129.0;52.984722222222224;19.75111111111111
252190230;Poddębice;Zgłowiączka (278);52 33 13;19 00 33;91.0;52.55361111111111;19.009166666666665
252190240;Trębki;Bzura (272);52 19 13;19 32 26;105.0;52.32027777777778;19.540555555555557
252200080;BORKOWO;Wkra (268);52 33 43;20 39 37;85.0;52.56194444444444;20.660277777777775
252200120;LEGIONOWO;Wisła (2);52 24 28;20 57 22;94.0;52.407777777777774;20.95611111111111
252200150;Warszawa-Bielany;Wisła (2);52 16 53;20 57 48;98.0;52.28138888888889;20.96333333333333
252200290;Kampinos;Bzura (272);52 16 08;20 28 21;87.0;52.26888888888889;20.472499999999997
252200350;Nacpolsk;Płonka (26876);52 30 51;20 15 05;126.0;52.51416666666667;20.25138888888889
252210020;CZARNOWO;Orz (2656);52 52 55;21 32 06;94.0;52.88194444444444;21.535
252210050;PUŁTUSK;Narew (26);52 43 39;21 05 25;95.0;52.7275;21.090277777777775
252210240;Wielgolas;Świder (256);52 02 14;21 43 26;150.0;52.03722222222222;21.723888888888887
252210290;Rybienko;Bug (266);52 34 40;21 25 45;93.0;52.57777777777778;21.429166666666667
252210320;Kozły;Bug (26714);52 27 08;21 24 33;107.0;52.452222222222225;21.409166666666664
252210330;Rząśnik Włościański;Narew (26);52 50 59;21 43 14;120.0;52.849722222222226;21.720555555555553
252220050;BRAŃSK;Nurzec (2666);52 44 31;22 49 35;125.0;52.74194444444444;22.82638888888889
252220120;TONKIELE;Bug (266);52 24 44;22 33 55;115.0;52.41222222222222;22.56527777777778
252220210;Wierzbowo Nowe;Narew (26);52 59 04;22 19 27;130.0;52.98444444444444;22.324166666666667
252220220;Tołwin;Bug (26714);52 29 57;22 57 04;175.0;52.49916666666667;22.95111111111111
252220230;Andrzejewo;Brok (2671476);52 49 24;22 11 07;117.0;52.82333333333334;22.185277777777777
252230010;NOWOSADY;Kołonna (2611316);52 58 21;23 52 44;160.0;52.972500000000004;23.878888888888888
252230030;BONDARY;Narew (26);52 56 15;23 45 16;147.0;52.9375;23.754444444444445
