LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.;Powiat
522;152160060;Konojad;Mogilnica (18568);52 09 05;16 31 55;;grodziski
523;152160070;Czarnków;Noteć (188);52 54 30;16 33 15;;czarnkowsko-trzcianecki
524;152160080;Szamotuły;Sama (1872);52 36 44;16 34 53;;szamotulski
525;152160090;Kościan;Kanał Mosiński (1856);52 05 24;16 38 39;;kościański
526;152160100;Oborniki;Warta (18);52 38 37;16 48 49;;obornicki
527;152160110;Kowanówko;Wełna (186);52 40 07;16 50 12;;obornicki
528;152160130;Mosina;Kanał Mosiński (1856);52 14 54;16 51 23;;poznański
529;152160140;Poznań-Most Rocha;Warta (18);52 24 08;16 56 43;;Poznań
530;152160150;Głuszyna;Kopel (18574);52 19 01;16 57 12;;Poznań
531;152170010;Śrem;Warta (18);52 05 35;17 00 58;;śremski
532;152170030;Wierzenica;Główna (18592);52 27 33;17 04 17;;poznański
533;152170040;Pruśce;Wełna (186);52 46 23;17 05 54;;obornicki
534;152170060;Nowa Wieś Podgórna;Warta (18);52 08 30;17 35 24;;wrzesiński
535;152170080;Pyzdry;Warta (18);52 10 04;17 41 43;;wrzesiński
536;152170120;Samarzewo;Wrześnica (1838);52 13 24;17 44 35;;słupecki
537;152170130;Ląd;Warta (18);52 12 13;17 53 10;;słupecki
538;152170150;Trąbczyn;Czarna Struga (18356);52 08 17;17 58 34;;słupecki
539;152179994;Raszewy;Lutynia (1852);52 05 24;17 36 59;;jarociński
540;152180010;Gębice;Noteć Zachodnia (1882);52 36 02;18 02 00;;mogileński
541;152180020;Goryszewo;Panna (18826);52 37 37;18 02 07;;mogileński
542;152180030;Pakość;Noteć (188);52 48 00;18 05 35;;inowrocławski
543;152180050;Sławsk;Warta (18);52 11 54;18 08 00;;koniński
544;152180060;Posoka;Powa (18352);52 12 11;18 13 21;;koniński
545;152180090;Noć Kalina;Noteć (188);52 26 18;18 22 50;;koniński
546;152180100;Łysek;Noteć (188);52 24 24;18 30 13;;koniński
547;152180110;Kościelec;Kiełbaska Duża (18334);52 10 31;18 34 31;;kolski
548;152180120;Koło;Warta (18);52 11 43;18 38 04;;kolski
549;152180130;OTŁOCZYNEK;Tążyna (2796);52 53 51;18 41 25;;aleksandrowski
550;152180140;Grzegorzew;Rgilewka (18332);52 12 00;18 44 34;;kolski
551;152180150;Dąbie;Ner (1832);52 05 05;18 49 26;;kolski
552;152180160;Konin-Morzysław;Kanał Ślesiński (1834);52 13 50;18 17 39;;Konin
553;152180180;Zaborowo;Pichna (18812);52 25 10;18 24 42;;koniński
554;152190030;WŁOCŁAWEK;Wisła (2);52 39 48;19 04 10;;Włocławek
555;152190050;Kwiatkówek;Bzura (272);52 03 45;19 13 03;;łęczycki
