LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.;Powiat
372;250210230;RADOMYŚL WIELKI;Breń (2174);50 11 59;21 16 11;190.0;mielecki
373;250210240;ZAWADA;Brzeźnica (2188);50 03 50;21 29 36;200.0;dębicki
374;250210260;SĘDZISZÓW MAŁOPOLSKI;Brzeźnica (2188);50 04 41;21 42 13;210.0;ropczycko-sędziszowski
375;250210280;Wola Raniżowska;Łęg (2198);50 18 04;21 59 32;195.0;kolbuszowski
376;250210290;Łubnice;Wisła (2);50 23 49;21 09 17;162.0;staszowski
377;250210330;Klimontów;Koprzywianka (2194);50 39 09;21 27 49;210.0;sandomierski
378;250220020;Zakrzówek;Bystrzyca (246);50 55 46;22 22 21;270.0;kraśnicki
379;250220030;Wysokie;Pór (24174);50 55 04;22 40 01;260.0;lubelski
380;250220050;Zakłodzie;Pór (24174);50 45 27;22 51 41;205.0;zamojski
381;250220080;FRAMPOL;Łada (2286);50 40 30;22 39 58;243.0;biłgorajski
382;250220120;JAROCIN;Bukowa (2294);50 34 07;22 18 24;183.0;niżański
383;250220130;BRODZIAKI;Czarna Łada (22862);50 30 24;22 47 24;201.0;biłgorajski
384;250220140;Tarnogróg;Tanew (228);50 21 24;22 45 24;237.0;biłgorajski
385;250220210;JAROSŁAW;San (22);50 01 06;22 41 47;181.0;jarosławski
386;250220220;Jarosław;San (22);50 01 16;22 42 09;180.0;jarosławski
387;250220230;Piwoda;San (22);50 04 35;22 45 18;183.0;jarosławski
388;250230020;Nielisz;Wieprz (24);50 48 18;23 02 19;200.0;zamojski
389;250230060;Józefów;Tanew (228);50 29 15;23 03 30;257.0;biłgorajski
390;250230070;Tomaszów Lubelski;Sołokija (26614);50 27 29;23 23 56;270.0;tomaszowski
391;250230130;FUTORY;Lubaczówka (2256);50 11 48;23 02 47;239.0;lubaczowski
392;250230140;WIELKIE OCZY;Szkło (2254);50 01 04;23 09 30;236.0;lubaczowski
393;250230160;CIESZANÓW;Tanew (228);50 14 01;23 07 05;217.0;lubaczowski
394;250230170;Jędrzejówka;Tanew (228);50 19 47;23 20 34;285.0;lubaczowski
395;250230180;Grabowiec Góra;Wieprz (24);50 48 45;23 34 12;268.0;zamojski
396;250230190;Kolonia Nowosiółki;Huczwa (267142);50 32 30;23 54 58;248.0;tomaszowski
397;250240010;Strzyżów;Bug (266);50 50 24;24 02 08;181.0;hrubieszowski
398;250240070;Gołębie;Bug (26714);50 38 05;24 04 59;204.0;hrubieszowski
399;251140060;Sobolice;Nysa Łużycka (174);51 23 18;14 58 30;150.0;żarski
400;251140110;Sanice;Nysa Łużycka (174);51 24 22;14 58 33;150.0;żarski
401;251150030;Nowogród Bobrzański;Bóbr (16);51 47 58;15 15 11;102.0;zielonogórski
402;251150080;Grabik;Czarna (164382);51 39 09;15 06 41;166.0;żarski
403;251150110;Żagań;Bóbr (16);51 38 59;15 17 37;96.0;żagański
404;251150130;Łozy;Kwisa (166);51 29 22;15 22 01;128.0;żagański
405;251150180;Tomaszów Bolesławiecki;Bobrzyca (1638);51 16 35;15 40 39;186.0;bolesławiecki
406;251150220;Nowogrodziec;Kwisa (166);51 11 44;15 23 43;206.0;bolesławiecki
407;251150280;Twardocice;Gajowa (138664);51 05 26;15 44 51;253.0;złotoryjski
408;251150290;Sulików;Czerwona Woda (1744);51 04 37;15 03 54;214.0;zgorzelecki
409;251150320;Bierna;Czerwona Woda (1744);51 02 20;15 06 59;265.0;zgorzelecki
410;251150340;Gryfów Śląski;Kwisa (166);51 01 36;15 24 34;312.0;lwówecki
411;251150350;Lubomierz;Oldza (1664);51 00 55;15 30 10;365.0;lwówecki
412;251150360;Świerzawa;Kaczawa (138);51 01 01;15 53 20;299.0;złotoryjski
413;251150390;Złotniki Lubańskie;Zb. Złotniki (166513);51 00 50;15 20 26;360.0;lubański
414;251150410;ŚWIERZAWA;Kaczawa (138);51 01 01;15 53 20;260.0;złotoryjski
415;251150420;STANKOWICE;Kwisa (166);51 01 00;15 18 49;335.0;lubański
416;251150430;Białków;Lubsza (1748);51 46 37;15 01 18;85.0;żarski
417;251150440;Siecieborzyce;Bóbr (16);51 39 56;15 32 13;150.0;żagański
418;251150450;Pieńsk;Nysa Łużycka (174);51 15 36;15 02 25;164.0;zgorzelecki
419;251150470;Miedziana;Czerwona Woda (1744);51 01 15;15 06 59;295.0;zgorzelecki
420;251160110;Osetno;Barycz (14);51 37 55;16 27 51;87.0;górowski
421;251160150;POLKOWICE DOLNE;Mokrzyca (16418);51 30 02;16 03 22;160.0;polkowicki
422;251160170;Chwałkowice;Rudawka (145444);51 26 54;16 36 47;178.0;wołowski
423;251160190;LUBIN;Zimnica (1392);51 24 43;16 13 01;131.0;lubiński
