ID;Nazwa;Rzeka;Szerokośćgeograficzna;Długośćgeograficzna;Wysokośćnpm;Powiat;lat_dec;lon_dec
151160150;Malczyce;Odra (1);51 13 37;16 29 23;;średzki;51.22694444444445;16.489722222222223
151160160;Rydzyna;Polski Rów (148);51 46 58;16 40 08;;leszczyński;51.782777777777774;16.66888888888889
151160170;Brzeg Dolny;Odra (1);51 15 38;16 43 36;;wołowski;51.260555555555555;16.726666666666667
151160180;Bogdaszowice;Strzegomka (1348);51 05 12;16 47 33;;wrocławski;51.086666666666666;16.7925
151160190;Jarnołtów;Bystrzyca (134);51 07 18;16 50 34;;wrocław;51.12166666666667;16.842777777777776
151160200;Korzeńsko;Orla (146);51 32 21;16 52 21;;trzebnicki;51.53916666666667;16.8725
151160220;Kanclerzowice;Sąsiecznica (144);51 27 13;16 57 22;;trzebnicki;51.453611111111115;16.95611111111111
151160230;Ślęza;Ślęza (1336);51 02 15;16 59 06;;wrocławski;51.0375;16.985
151160260;Sława Śląska;Czernica (15612);51 52 50;16 04 31;;wschowski;51.88055555555555;16.075277777777778
151160300;Wąsosz;Barycz (14);51 33 30;16 41 19;;górowski;51.55833333333333;16.68861111111111
151170010;Krzyżanowice;Widawa (136);51 10 16;17 02 51;;trzebnicki;51.17111111111111;17.047500000000003
151170030;Trestno;Odra (1);51 04 56;17 08 49;;wrocław;51.08222222222223;17.146944444444443
151170040;Łąki;Barycz (14);51 29 35;17 08 47;;milicki;51.49305555555556;17.14638888888889
151170050;Zbytowa;Widawa (136);51 06 21;17 24 24;;oleśnicki;51.10583333333334;17.406666666666666
151170060;Bogdaj;Polska Woda (142);51 30 58;17 33 51;;ostrowski;51.51611111111111;17.56416666666667
151170070;Odolanów;Barycz (14);51 34 32;17 40 12;;ostrowski;51.57555555555556;17.67
151170080;Odolanów;Kuroch (1414);51 34 42;17 40 13;;ostrowski;51.57833333333333;17.67027777777778
151170090;Namysłów;Widawa (136);51 04 49;17 42 36;;namysłowski;51.08027777777778;17.71
151170110;Bogusław;Prosna (184);51 53 54;17 57 13;;pleszewski;51.89833333333333;17.953611111111112
151180010;Ołobok;Ołobok (1844);51 38 22;18 04 08;;ostrowski;51.63944444444444;18.06888888888889
151180020;Piwonice;Prosna (184);51 43 36;18 06 26;;kalisz;51.72666666666667;18.107222222222223
151180030;Kuźnica Skakawska;Niesób (1842);51 16 47;18 07 54;;wieruszowski;51.27972222222222;18.131666666666668
151180040;Mirków;Prosna (184);51 18 56;18 09 17;;wieruszowski;51.315555555555555;18.154722222222222
151180050;Dębe;Swędrnia (18482);51 47 29;18 11 52;;kaliski;51.79138888888889;18.197777777777777
151180060;Kraszewice;Łużyca (18438);51 31 09;18 13 30;;ostrzeszowski;51.51916666666666;18.224999999999998
151180070;Gorzów Śląski;Prosna (184);51 02 07;18 26 04;;oleski;51.03527777777778;18.434444444444445
151180080;Sieradz;Warta (18);51 36 00;18 44 31;;sieradzki;51.6;18.741944444444446
151180090;Niechmirów;Oleśnica (1818);51 23 17;18 45 44;;sieradzki;51.38805555555555;18.76222222222222
151180100;Osjaków;Warta (18);51 17 08;18 47 06;;wieluński;51.285555555555554;18.785
151180110;Uniejów;Warta (18);51 58 21;18 47 28;;poddębicki;51.972500000000004;18.791111111111114
151180120;Burzenin;Warta (18);51 27 30;18 50 16;;sieradzki;51.458333333333336;18.837777777777777
151180130;Działoszyn;Warta (18);51 06 37;18 52 24;;pajęczański;51.11027777777778;18.873333333333335
151180140;Podgórze;Widawka (182);51 27 54;18 56 35;;łaski;51.465;18.943055555555556
151180150;Widawa;Nieciecz (18292);51 26 18;18 56 48;;łaski;51.43833333333333;18.946666666666665
151180160;Poddębice;Ner (1832);51 53 30;18 56 58;;poddębicki;51.891666666666666;18.949444444444445
151180170;Rogóźno;Widawka (182);51 26 08;18 58 27;;łaski;51.43555555555555;18.974166666666665
151180180;Grabno;Grabia (1828);51 27 30;18 59 07;;łaski;51.458333333333336;18.985277777777778
